,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
103,50,1534.3444375075837,0.3992837229999999,"[13, 2, 7, 11, 17, 16, 3, 10, 19, 14, 5, 8, 0, 18, 9, 6, 15, 4, 1, 12]",50,0.05,2000
104,75,1534.3444375075837,0.6055650090000002,"[13, 2, 7, 11, 17, 16, 3, 10, 19, 14, 5, 8, 0, 18, 9, 6, 15, 4, 1, 12]",50,0.05,2000
105,100,1436.8867871720793,0.8004017490000006,"[13, 12, 7, 11, 17, 2, 16, 5, 3, 19, 14, 10, 8, 0, 18, 9, 6, 15, 4, 1]",50,0.05,2000
106,125,1384.4918716130621,0.9925295969999999,"[12, 13, 17, 7, 11, 2, 16, 5, 3, 19, 10, 14, 8, 0, 18, 9, 6, 15, 4, 1]",50,0.05,2000
107,150,1383.6021136353909,1.2003329909999998,"[12, 13, 17, 7, 11, 2, 16, 5, 8, 19, 10, 14, 3, 0, 18, 9, 6, 15, 4, 1]",50,0.05,2000
108,175,1383.6021136353909,1.3926074760000002,"[12, 13, 17, 7, 11, 2, 16, 5, 8, 19, 10, 14, 3, 0, 18, 9, 6, 15, 4, 1]",50,0.05,2000
109,200,1383.6021136353909,1.6001833780000005,"[12, 13, 17, 7, 11, 2, 16, 5, 8, 19, 10, 14, 3, 0, 18, 9, 6, 15, 4, 1]",50,0.05,2000
110,300,1178.7267948394212,2.3501160520000006,"[12, 13, 17, 7, 11, 2, 16, 14, 5, 10, 19, 8, 3, 18, 0, 9, 6, 15, 4, 1]",50,0.05,2000
111,400,1118.3059514479596,3.213567664000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 15, 4, 1]",50,0.05,2000
112,500,1105.192012102721,4.010142822000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
113,600,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
