,Iteration,Time,Fitness,Temperature,max_iters
255,255,0.17503888099999987,11.0,10,1900
256,256,0.175427883,11.0,10,1900
257,257,0.17601894799999984,12.0,10,1900
258,258,0.176792391,12.0,10,1900
259,259,0.17711922999999996,12.0,10,1900
260,260,0.17775261999999992,12.0,10,1900
261,261,0.17857989600000002,12.0,10,1900
262,262,0.17917006599999996,12.0,10,1900
263,263,0.17976596499999986,12.0,10,1900
264,264,0.18038522099999987,11.0,10,1900
265,265,0.18099271100000003,10.0,10,1900
266,266,0.18140247399999998,10.0,10,1900
267,267,0.182149962,10.0,10,1900
268,268,0.18291928000000013,10.0,10,1900
269,269,0.1835321780000001,10.0,10,1900
270,270,0.18391344100000007,10.0,10,1900
271,271,0.184533826,10.0,10,1900
272,272,0.18513126700000004,9.0,10,1900
273,273,0.18553235899999976,9.0,10,1900
274,274,0.18587641799999988,9.0,10,1900
275,275,0.1862083750000001,9.0,10,1900
276,276,0.1868283759999998,9.0,10,1900
277,277,0.18744415000000014,10.0,10,1900
278,278,0.18777683599999984,10.0,10,1900
279,279,0.18835862599999986,9.0,10,1900
280,280,0.18900148999999988,9.0,10,1900
281,281,0.18960320000000008,9.0,10,1900
282,282,0.19027151399999997,9.0,10,1900
283,283,0.19058526099999984,9.0,10,1900
284,284,0.1912229299999999,10.0,10,1900
285,285,0.191810319,11.0,10,1900
286,286,0.192528351,10.0,10,1900
287,287,0.19316212099999985,10.0,10,1900
288,288,0.19359568399999993,10.0,10,1900
289,289,0.19431971499999978,11.0,10,1900
290,290,0.19494319199999977,10.0,10,1900
291,291,0.19559397799999978,11.0,10,1900
292,292,0.19618787400000004,11.0,10,1900
293,293,0.19686378500000012,11.0,10,1900
294,294,0.19745997599999976,11.0,10,1900
295,295,0.19805371100000002,10.0,10,1900
296,296,0.19864131799999996,9.0,10,1900
297,297,0.19923572999999983,9.0,10,1900
298,298,0.19982764500000005,11.0,10,1900
299,299,0.20042711699999982,11.0,10,1900
300,300,0.20100919699999986,11.0,10,1900
301,301,0.20681764400000002,11.0,10,1900
302,302,0.20713421700000012,11.0,10,1900
303,303,0.20771947199999996,11.0,10,1900
304,304,0.208310027,10.0,10,1900
305,305,0.20891753499999988,11.0,10,1900
306,306,0.20952398699999986,10.0,10,1900
307,307,0.2100970489999998,8.0,10,1900
308,308,0.21041708000000003,8.0,10,1900
309,309,0.21084900399999995,8.0,10,1900
310,310,0.21123772400000007,8.0,10,1900
311,311,0.211850836,8.0,10,1900
312,312,0.2124502119999998,8.0,10,1900
313,313,0.21303147900000008,8.0,10,1900
314,314,0.21361358699999977,9.0,10,1900
315,315,0.21430162699999977,10.0,10,1900
316,316,0.21462218500000008,10.0,10,1900
317,317,0.2152151889999998,11.0,10,1900
318,318,0.2155392730000001,11.0,10,1900
319,319,0.21614247899999972,11.0,10,1900
320,320,0.21675086300000013,11.0,10,1900
321,321,0.21734044500000005,11.0,10,1900
322,322,0.21764896700000014,11.0,10,1900
323,323,0.21826697299999998,11.0,10,1900
324,324,0.218856685,12.0,10,1900
325,325,0.21945130099999988,12.0,10,1900
326,326,0.2200245839999999,10.0,10,1900
327,327,0.2206145639999999,10.0,10,1900
328,328,0.22120593899999985,11.0,10,1900
329,329,0.22187427999999976,11.0,10,1900
330,330,0.22245408599999994,9.0,10,1900
331,331,0.22305067199999984,10.0,10,1900
332,332,0.22369297500000007,10.0,10,1900
333,333,0.22401480399999985,10.0,10,1900
334,334,0.22464089599999992,11.0,10,1900
335,335,0.22522134699999974,11.0,10,1900
336,336,0.2258252249999999,11.0,10,1900
337,337,0.22613348500000008,11.0,10,1900
338,338,0.22670743699999996,13.0,10,1900
339,339,0.22729015499999994,12.0,10,1900
340,340,0.22790159600000015,11.0,10,1900
341,341,0.22835131399999975,11.0,10,1900
342,342,0.22898663099999972,11.0,10,1900
343,343,0.229567329,12.0,10,1900
344,344,0.23017131599999985,13.0,10,1900
345,345,0.23078007300000003,13.0,10,1900
346,346,0.2313789009999998,14.0,10,1900
347,347,0.23196578999999984,13.0,10,1900
348,348,0.232554264,14.0,10,1900
349,349,0.23315988099999974,14.0,10,1900
350,350,0.23346687700000013,14.0,10,1900
351,351,0.23410327599999992,15.0,10,1900
