,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
37,700,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
38,800,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
39,900,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
40,1000,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
41,1500,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
42,2000,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
43,2500,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
44,3000,0.0,0.16197741,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",15,3000,0
45,0,15.0,0.0005240680000002662,"[44, 47, 0, 3, 3, 39, 9, 19, 21, 36, 23, 6, 24, 24, 12, 1, 38, 39, 23, 46, 24, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 19, 19, 14, 39, 32, 1, 9, 32, 31, 10, 23, 35]",100,3000,0
46,100,3.0,0.064039599,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
47,200,1.0,0.12120356200000026,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
48,300,0.0,0.16886164500000023,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
49,400,0.0,0.16886164500000023,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
50,500,0.0,0.16886164500000023,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
51,600,0.0,0.16886164500000023,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",100,3000,0
